Designator,Mid X,Mid Y,Rotation,Layer
C1,142.4004,-99.1836,0.0,top
C2,150.2504,-91.9686,180.0,top
C3,129.032,-100.838,90.0,top
C4,127.0,-100.838,90.0,top
C5,127.0,-104.648,270.0,top
C6,129.032,-104.648,270.0,top
D1,142.5812,-93.0412,180.0,top
D2,142.5629,-95.1136,180.0,top
D3,142.5812,-97.2068,180.0,top
D4,121.666,-103.378,270.0,top
D5,121.412,-96.52,270.0,top
D6,121.412,-99.314,90.0,top
D7,119.634,-104.394,270.0,top
F1,124.46,-102.616,270.0,top
J1,109.1004,-97.9336,180.0,top
J2,178.05,-98.18,0.0,top
J4,160.583,-98.044,90.0,top
JP1,128.8034,-93.7514,0.0,top
Q1,155.3323,-93.091,270.0,top
Q2,155.321,-101.2311,90.0,top
R1,155.321,-98.1686,0.0,top
R2,155.321,-96.1686,0.0,top
R3,139.1004,-93.0836,0.0,top
R4,139.1254,-95.1136,0.0,top
R5,139.1129,-97.1136,0.0,top
U1,149.606,-98.2686,270.0,top
U2,134.62,-102.87,180.0,top
